Key;English;;;;;;;;;;;;;
HAS_NO_UNION_TAG; 같은 문화권을 아우르는 문화연합 = 0;;;;;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$일 소요;;;;;;;;;;;;;;;
ruthless;인정사정없음;Ruthless;;;;;;;;;;;;;;;;;
rebellious;반체제적임;Rebellious;;;;;;;;;;;;;;;;;
skilled;노련함;Skilled;;;;;;;;;;;;;;;
secretive;비밀스러움;Secretive;;;;;;;;;;;;;;;;;
shrinking_violet;수줍음;Shrinking Violet;;;;;;;;;;;;;;;
sinner;죄인;Sinner;;;;;;;;;;;;;;
strange;이상함;Strange;;;;;;;;;;;;;;;
stout;튼튼함;Stout;;;;;;;;;;;;;;;
soldierly;군인다움;Soldierly;;;;;;;;;;;;;;;
spirited;활발함;Spirited;;;;;;;;;;;;;;;
stalwart;충직함;Stalwart;;;;;;;;;;;;;;;
soft;부드러움;Soft;;;;;;;;;;;;;;;
spineless;줏대 없음;Spineless;;;;;;;;;;;;;;;
stouthearted;굳셈;Stouthearted;;;;;;;;;;;;;;;
steadfast;유용함;Steadfast;;;;;;;;;;;;;;;
scared;무서움을 잘탐;Scared;;;;;;;;;;;;;;;
shirker;게으름뱅이;Shirker;;;;;;;;;;;;;;;
smart_p;똑똑함;Smart;;;;;;;;;;;;;;;
sharp;선명함;Sharp;;;;;;;;;;;;;;;
timid;용기가 없음;Timid;;;;;;;;;;;;;;;
tactful;재치 있음;Tactful;;;;;;;;;;;;;;;
unflinching;잘 위축되지 않음;Unflinching;;;;;;;;;;;;;;;
unruly;다루기 힘듦;Unruly;;;;;;;;;;;;;;;
undisciplined;제멋대로임;Undisciplined;;;;;;;;;;;;;;;
unforgiving;다루기 힘듦;Unforgiving;;;;;;;;;;;;;;;;;
unmanly;남자답지 못함;Unmanly;;;;;;;;;;;;;;;
unsound;불안정함;Unsound;;;;;;;;;;;;;;;
vainglorious;자만심이 강함;Vainglorious;;;;;;;;;;;;;;;
vicious;악랄함;Vicious;;;;;;;;;;;;;;;
wrathful;몹시 노함;Wrathful;;;;;;;;;;;;;;;
wretched;비참함;Wretched;;;;;;;;;;;;;;;
yellow;겁이 매우 많음;Yellow;;;;;;;;;;;;;;;
no_background;뒤가 없음;No Background;;;;;;;;;;;;;;;
ambitious_careerist;출세제일주의자;Ambitious Careerist;;;;;;;;;;;;;;;;;
architect;설계자;Architect;;;;;;;;;;;;;;;;;
armchair_general;탁상공론식의 장군;Armchair General;;;;;;;;;;;;;;;
artillerist;포병;Artillerist;;;;;;;;;;;;;;;
amateur;아마추어;Amateur;;;;;;;;;;;;;;;
aristocrat;귀족;Aristocrat;;;;;;;;;;;;;;;
adventurer;모험가;Adventurer;;;;;;;;;;;;;;;
butcher;도살자;Butcher;;;;;;;;;;;;;;;
bureaucrat_speed;빠른 관료;Bureaucrat Speed;;;;;;;;;;;;;;;
brownnoser;아첨을 잘함;Brownnoser;;;;;;;;;;;;;;;
brilliant_strategist;뛰어난 전략가;Brilliant Strategist;;;;;;;;;;;;;;;;;
bootlicker;추종자;Bootlicker;;;;;;;;;;;;;;;
cavalry_school;기병학교;Cavalry School;;;;;;;;;;;;;;;
colonial_recruit;식민지 징집군;Colonial Recruit;;;;;;;;;;;;;;;;;
colonial_b;식민지 출신;Colonial;Colonial;Kolonial;;;;;;;;;;;;;;;
cartographer;지도 제작자;Cartographer;;;;;;;;;;;;;;;
cursed_luck;저주받은 행운아;Cursed Luck;;;;;;;;;;;;;;;
corrupt;부패함;Corrupt;;;;;;;;;;;;;;;
clueless;아주 멍청함;Clueless;;;;;;;;;;;;;;;
debutante;사교계에 처음 가본 상류층;Debutante;;;;;;;;;;;;;;;
disgraced;실각함;Disgraced;;;;;;;;;;;;;;;
drillmaster;교련 교관;Drillmaster;;;;;;;;;;;;;;;
diplomat;책략가;Diplomat;;;;;;;;;;;;;;;
engineer;공병대;Engineer;;;;;;;;;;;;;;;
entrepreneur;사업가;Entrepreneur;;;;;;;;;;;;;;;;;
exranker;사병 출신;Exranker;;;;;;;;;;;;;;;
expert_raider;전문 침입자;Expert Raider;;;;;;;;;;;;;;;
eccentric_genius;괴짜 천재;Eccentric Genius;;;;;;;;;;;;;;;
elder_statesmen;원로 정치가;Elder Statesman;;;;;;;;;;;;;;;;;
elderly;늙음;Elderly;;;;;;;;;;;;;;;
ethnic;민족적임;Ethnic;;;;;;;;;;;;;;;;;
gifted_administrator;재능있는 관리자;Gifted Administrator;;;;;;;;;;;;;;;
generals_aide;장군의 보좌관;General's Aide;;;;;;;;;;;;;;;
hated;증오받음;Hated;;;;;;;;;;;;;;;
innovative_tactician;혁신적인 전술가;Innovative Tactician;;;;;;;;;;;;;;;
immoral;부도덕함;Immoral;;;;;;;;;;;;;;;
introverted_philosopher;내성적인 철학자;Introverted Philosopher;;;;;;;;;;;;;;;;;
incompetent;무능력자;Incompetent;;;;;;;;;;;;;;;
intellectual;이지적임;Intellectual;;;;;;;;;;;;;;;;;
military_theoretician;군사 이론가;Military Theoretician;;;;;;;;;;;;;;;;;
megalomaniac;과대망상증 환자;Megalomaniac;;;;;;;;;;;;;;;
mercenary;수전노;Mercenary;;;;;;;;;;;;;;;;;
feeble;허약함;Feeble;;;;;;;;;;;;;;
harsh_disciplinarian;규율이 가혹함;Harsh Disciplinarian;;;;;;;;;;;;;;
fearsome;무시무시함;Fearsome;;;;;;;;;;;;;;
independent;독립적임;Independent-Minded;;;;;;;;;;;;;;
bureaucrat;관료;Bureaucrat;;;;;;;;;;;;;;
member_of_elite;엘리트;Member of the Elite;;;;;;;;;;;;;;;;;
natural_born_leader;타고난 지도자;Natural Born Leader;;;;;;;;;;;;;;;
nationalist;민족주의자;Nationalist;;;;;;;;;;;;;;;;;
old_school;구식 학파;Old School;;;;;;;;;;;;;;;
poet;시인;Poet;;;;;;;;;;;;;;;
priest;사제;Priest;;;;;;;;;;;;;;;
professor;교수;Professor;;;;;;;;;;;;;;;
powerful_friends;강력한 동지;Powerful Friends;;;;;;;;;;;;;;;
pawn;졸개;Pawn;;;;;;;;;;;;;;;
questionable_loyalties;충성심이 의심스러움;Questionable Loyalties;;;;;;;;;;;;;;;;;
renowned_adventurer;유명한 모험가;Renowned Adventurer;;;;;;;;;;;;;;;;;
politician;정치꾼;Politician;;;;;;;;;;;;;;;
rising_star;떠오르는 별;Rising Star;;;;;;;;;;;;;;;
religious_fanatic;종교 광신도;Religious Fanatic;;;;;;;;;;;;;;;;;
religious_leader;종교 지도자;Religious Leader;;;;;;;;;;;;;;;;;
railroad_man;철도 종업원;Railroad Man;;;;;;;;;;;;;;;;;
rags_to_riches;자수성가함;Rags to Riches;;;;;;;;;;;;;;;;;
son_of_hero;영웅의 아들;Hero's Son;;;;;;;;;;;;;;;;;
spoiled;망가짐;Spoiled;;;;;;;;;;;;;;;
school_of_defense;방어주의 학파;School of Defense;;;;;;;;;;;;;;;;
school_of_offense;공격주의 학파;School of Offense;;;;;;;;;;;;;;;
school_of_the_bayonet;총검주의 학파;School of the Bayonet;;;;;;;;;;;;;;;
school_of_firepower;화력주의 학파;School of Firepower;;;;;;;;;;;;;;;
sad_sack;요령 없음;Sad Sack;;;;;;;;;;;;;;;
state_ideologue;이념적임;State Ideologue;;;;;;;;;;;;;;;;;;
sucker;얼간이;Sucker;;;;;;;;;;;;;;;
sycophant;아첨꾼;Sycophant;;;;;;;;;;;;;;;
toady;알랑쇠;Toady;Flatteur;;;;;;;;;;;;;;;
turncoat;변절자;Turncoat;;;;;;;;;;;;;;;;;
university_educated;고등교육 이수자;University Educated;;;;;;;;;;;;;;;;;;
uncommonly_young;굉장히 젊음;Uncommonly Young;;;;;;;;;;;;;;;
unfit;몸 상태가 나쁨;Unfit;;;;;;;;;;;;;;;
unqualified;자격 미달;Unqualified;;;;;;;;;;;;;;;
unfulfilled_potential;잠재력 미실현;Unfulfilled Potential;;;;;;;;;;;;;;;;;
warmonger;전쟁광;Warmonger;;;;;;;;;;;;;;;
war_college;육군사관학교;War College;;;;;;;;;;;;;;;
wounded_veteran;상이용사;Wounded Veteran;;;;;;;;;;;;;;;;;
womanizer;오입쟁이;Womanizer;;;;;;;;;;;;;;;
yesman;고분고분함;Yesman;;;;;;;;;;;;;;;
arab_revolt_ended;아랍 반란 종결;;;;;;;;;;;;x;
newly_released_nation;신생국;;;;;;;;;;;;x;
crop_rotation;윤작;;;;;;;;;;;;x;
crop_rotation_desc;관습적으로 윤작을 시행하고 있습니다.;;;;;;;;;;;;x;
phosphates;인산염;;;;;;;;;;;;x;
phosphates_desc;인산염을 농장의 비료로 쓰고 있습니다.;;;;;;;;;;;;x;
nitrates;질산염;;;;;;;;;;;;x;
nitrates_desc;질산염을 농장의 비료로 쓰고 있습니다.;;;;;;;;;;;;x;
will_support_entre_rios;엔트레리오스 지원 승인;;;;;;;;;;;;x;
shaft_mine;수갱 채굴;;;;;;;;;;;;x;
shaft_mine_desc;깊은 수갱을 이용한 채굴이 개발됐습니다.;;;;;;;;;;;;x;
pit_mine;갱 채굴;;;;;;;;;;;;x;
pit_mine_desc;갱 채굴 기술이 발명됐습니다.;;;;;;;;;;;;x;
strip_mine;노천굴광;;;;;;;;;;;;x;
strip_mine_desc;노천굴광이 이뤄지고 있습니다.;;;;;;;;;;;;x;
tax_reforms;국세개혁;;;;;;;;;;;;x;
tax_reforms_desc;최근의 세법개혁을 통해 조세 효율이 높아졌습니다. 최소한 이 법을 폐지하거나 빠져나갈 구멍이 발견되기 전까지는 말입니다.;;;;;;;;;;;;x;
intense_farming;집약적 농업;;;;;;;;;;;;x;
intense_farming_desc;지력이 고갈될 위험을 감수함으로써 농지를 더 효율적이고 집약적으로 경작합니다.;;;;;;;;;;;;x;
exhausted_land;지력 고갈;;;;;;;;;;;;x;
exhausted_land_desc;농지 집약 농사가 지력이 소진시켰습니다. 지력을 회복할 때까지 생산량이 감소합니다.;;;;;;;;;;;;x;
irrigration_network;관개망;;;;;;;;;;;;x;
irrigration_network_desc;관개망을 건설했으므로 사막을 더욱 효과적으로 경작할 수 있습니다.;;;;;;;;;;;;x;
population_trend;인구성장 경향;;;;;;;;;;;;x;
population_trend_desc;최근 인구 증가를 경험했습니다. 당분간 안정세를 유지할 것으로 보입니다.;;;;;;;;;;;;x;
point_five_children;출산율 0.5명;;;;;;;;;;;;x;
point_five_children_desc;출산율이 최악입니다. 아이의 수가 성인의 25%에 불과합니다.;;;;;;;;;;;;x;
one_child;출산율 1명;;;;;;;;;;;;x;
one_child_desc;출산율이 매우 낮습니다. 아이의 수가 성인의 50%에 불과합니다.;;;;;;;;;;;;x;
one_point_five_children;출산율 1.5명;;;;;;;;;;;;x;
one_point_five_children_desc;출산율이 낮습니다. 아이의 수가 성인의 75%에 불과합니다.;;;;;;;;;;;;x;
two_children;출산율 2명;;;;;;;;;;;;x;
two_children_desc;출산율이 평균입니다. 아이의 수가 성인과 맞먹습니다.;;;;;;;;;;;;x;
two_point_five_children;출산율 2.5명;;;;;;;;;;;;x;
two_point_five_children_desc;출산율이 평균보다 약간 높습니다. 아이의 수가 성인의 125%에 다다릅니다.;;;;;;;;;;;;x;
three_children;출산율 3명;;;;;;;;;;;;x;
three_children_desc;출산율이 높습니다. 아이의 수가 성인의 150%에 달합니다.;;;;;;;;;;;;x;
four_children;출산율 4명;;;;;;;;;;;;x;
four_children_desc;출산율이 매우 높습니다. 아이의 수가 성인의 200%에 다다릅니다.;;;;;;;;;;;;x;
bleeding;출혈 상태;;;;;;;;;;;;x;
bleeding_desc;폐지론자들과 노예제 지지자 사이에 끼어있어 폭력이 극에 달합니다.;;;;;;;;;;;;x;
submarine;잠수함;;;;;;;;;;;;x;
