#;;;;;;;;;;;;;
EVTDESC150;'미성숙한 신앙에 인생을, 맹목적이고 공격적인 농간에 시간을 허비하는 것은 인간의 본성이 아니다. 그러므로 우리의 삶과 공동체를 개선하려면 이들을 당장 영원히 축출함으로써 사악한 영향에서 벗어나야 한다. 이를 따르면 자신의 영혼을 구제하고 눈을 들어 하늘 높은 곳의 영을 추앙할 수 있다.'\n\n국내 종교단체들 사이에서 종교근본주의 운동이 점점 열을 올리고 있습니다. 이와 관련한 집회가 개최될 예정이라고 합니다.;;;;;;;;;;;;;
EVTOPTA150;적절한 행동이다.
EVTOPTB150;근본주의를 금지해야 한다.;;;;;;;;;;;;;
EVTNAME160;주류 판매 허가제;;;;;;;;;;;;;
EVTDESC160;금주동맹의 치열한 공작에 영향을 받은 한 지역 당국이 소규모 판매점의 주류 판매 및 취급에 대해 관련기관의 허가를 요구하는 제도를 도입했습니다. 주류 판매 허가제가 여론의 강력한 지지를 받으면서  주류 판매 저조 현상이 전국으로 확대됐고 주류 판매액로 얻던 이익을 상실한 소상공인들은 파산을 맞았습니다.;;;;;;;;;;;;;
EVTOPTA160;지역민들이 원하는 대로 하게 놔둔다.;;;;;;;;;;;;;
EVTOPTB160;법안을 폐지하도록 압력을 가한다!;;;;;;;;;;;;;
EVTNAME170;금주와 노동운동;;;;;;;;;;;;;
EVTDESC170;'우리 스스로와 형제들을 술과 알코올 중독의 폐해에서 구원하는 것은 언제나 전면적인 금주 뿐이다. 이로써 우리는 악덕과 악습이라는 자본가들의 양대 폭정에서 해방되리라.'\n\n 빈민층에서 알코올 중독이 만연하면서 점점 더 악영향이 늘어가자 금주동맹은 사회주의와 손을 잡았습니다. 지역의 노동조합은 국내에서 음주 금지를 고려중입니다.;;;;;;;;;;;;;
EVTOPTA170;방해받지 않고 일하게 놔둔다.;;;;;;;;;;;;;
EVTOPTB170;사회주의자들을 놔둘 수는 없다.;;;;;;;;;;;;;
EVTNAME180;밀주와 밀수범;;;;;;;;;;;;;
EVTDESC180;'이봐 조금만 더 조용히 해봐. 저기 경비대가 눈을 돌리면 국경선을 넘는거야. $CAPITAL$에는 술만 들어도 눈이 빨개지는 사람들이 수천명은 있으니 가져가기만 하면 불티나게 팔릴거야.'\n\n 금주령으로 주류 밀수시장이 생겨났습니다. 인접국에서 비밀리에 밀주를 만들고 수송하는 조직이 생겨나는 바람에 최상급 밀주가 불티나게 팔릴 듯 합니다. 오늘도 경찰이 밤에 밀매조직이 국경선을 넘으리라는 소식을 입수했습니다.;;;;;;;;;;;;;
EVTOPTA180;통과시켜라.;;;;;;;;;;;;;
EVTOPTB180;막아!;;;;;;;;;;;;;
EVTNAME190;포도재배자협회;;;;;;;;;;;;;
EVTDESC190;절대금주주의자와 금주운동가에 맞선 포도재배자협회가 발족했습니다. 이들은 음주의 범죄화에 관련한 인식을 뒤집고 음주에 관한 전통과 미덕 계승하고 음주문화를 풍부하게 지켜나가겠다고 밝혔습니다. 또한 모든 형태의 금주조치에 반대하는 대신에 책임있는 음주를 권장합니다.;;;;;;;;;;;;;
EVTOPTA190;... 어디에 서명해야 하는가?;;;;;;;;;;;;;
EVTOPTB190;말하자면 음주란 무책임한 짓이지.;;;;;;;;;;;;;
EVTNAME1000;사회주의자;;;;;;;;;;;;;
EVTDESC1000;카를 마르크스가 <공산당 선언>을 출판했습니다. 이 출판물은 $COUNTRY$의 노동자들이 이 안에 마련된 의제를 진전시키기 위한 정당을 찾도록 이끌었습니다. 이들은 스스로를 사회주의자라고 부르며 노동자들이 생산수단을 통제하는 지배자인 국가를 꿈꿉니다. 평등, 정의, 연대, 민주주의는 사회주의 이념의 또 다른 중요한 요소입니다.;;;;;;;;;;;;;
EVTOPTA1000;알았다.;;;;;;;;;;;;;
EVTNAME1001;공산주의 의제;;;;;;;;;;;;;
EVTDESC1001;우리는 자유로운 사회를 원합... 아니, '필요'로 합니다. 누구도 우월하지 않고, 누구도 뒤쳐지지 않으며, 억압과 결핍에서 자유로운 그런 사회가 필요합니다. 정부가 없고, 계급 구분이 없으며, 노동자들이 생산 수단을 통제하는 사회가 필요합니다.;;;;;;;;;;;;;
EVTOPTA1001;알았다.;;;;;;;;;;;;;
EVTNAME1002;아나르코자본주의자;;;;;;;;;;;;;
REMOVE_EVTDESC1002;EVTDESC1002;'법 집행, 법원, 국방을 통제하는 국가가 아니라, 자발적인 민간 경쟁자들이 서로 다른 법 체계를 제공해야 합니다. 개방된 시장에서 개인적으로 그리고 경쟁적으로 재화를 제공해야 하며, 정치보다는 시장의 자연적 법칙과 사법이 개인적이고 경제적인 활동을 규제해야 합니다.'\n\n 경제적 자유의 부족과 의회 개혁의 속도에 불만을 품은 자유주의자들이 $COUNTRY$ 정치계에서 새로운 당파를 형성했습니다. 아나르코자본주의(무정부자유주의)자들은 자유주의적 이념의 혁명적인 전위대이며, 자유무역과 그를 둘러싼 자신들의 사상을 국내외에서 실현하려 필요한 모든 수단을 사용하려 합니다.;;;;;;;;;;;;;
EVTOPTA1002;알았다.;;;;;;;;;;;;;
EVTNAME1003;제3의 길;;;;;;;;;;;;;
EVTDESC1003;'혁명의 검은 셔츠들이여, $COUNTRY$과 전세계의 모든 검은 셔츠들이여, 들어보십시오. 정부가 약해졌습니다! 우리에게는 서로를 하나로 단결시킬 수 있고, 강한 국가 정체성을 줄 수 있고, 자본주의나 공산주의 같은 달콤하지만 독이 숨어있는 사탕발림에 속지 않을 정당이 필요합니다. $COUNTRY$! $COUNTRY$! 완전하고 보편적인 파쇼! 검은 셔츠의 $COUNTRY$이여, 일어서서 당신의 결단의 외침이 하늘을 타고 전세계에 이르도록 하십시오. 국가는 모든 것이며, 국가 밖의 것, 국가에 반하는 것은 없습니다. 오늘 우리는 시간이 지나도 꺼지지 않는 불꽃에 불을 붙였습니다. 파쇼 형제여, 신성한 불꽃이 $COUNTRY$과(와) 인류가 갈어갈 길을 다시 밝힐 때까지 그것을 지켜내십시오'\n파쇼들이 제3의 길을 부르짖으며 상원에서 세력을 형성하려 합니다.;;;;;;;;;;;;;
EVTOPTA1003;알았다.;;;;;;;;;;;;;
EVTNAME1100;$PROVINCENAME$ 골드러시;;;;;;;;;;;;;
EVTDESC1100;지칠대로 지친 노인이 황야에서 돌아오더니 위스키를 주문하고는 들뜬 목소리로 말했습니다. '황금이야! 금을 찾았다고! 금의 산을 말이야!';;;;;;;;;;;;;
EVTOPTA1100;황금!;;;;;;;;;;;;;
EVTNAME1105;다이아몬드 열풍;;;;;;;;;;;;;
EVTDESC1105;지칠대로 지친 노인이 황야에서 돌아오더니 위스키를 주문하고는 들뜬 목소리로 말했습니다. '다이아몬드야! 금강석을 찾았다고! 금강석의 산을 말이야!';;;;;;;;;;;;;
EVTOPTA1105;다이아몬드!;;;;;;;;;;;;;
EVTNAME1107;$PROVINCENAME$에서 고무 발견!;;;;;;;;;;;;;
EVTDESC1107;$PROVINCENAME$과(와) 주변 환경을 조사하라고 파견했던 탐사대가 흥미로운 사실을 발견했습니다. 탐험가들의 보고에 따르면 그들이 조사한 지역에서 고무나무가 무성하게 자라고 있다고 합니다. 가까운 장래에 그 유용함이 드러날 것 같습니다.;;;;;;;;;;;;;
EVTOPTA1107;유용하겠군.;;;;;;;;;;;;;
EVTNAME1109;$PROVINCENAME$에서 유전 발견;;;;;;;;;;;;;
EVTDESC1109;지칠대로 지친 노인이 황야에서 돌아오더니 위스키를 주문하고는 들뜬 목소리로 말했습니다. '석유야! 유전을 발견했다고! 석유의 바다를 찾았어!';;;;;;;;;;;;;
EVTOPTA1109;석유!;;;;;;;;;;;;;
EVTNAME1139;비트바테르스란트 골드러쉬;;;;;;;;;;;;;
EVTDESC1139;오랫동안 원주민들 사이에서는 사과만한 금괴들이 널렸다는 전설적인 장소에 대한 소문이 나돌았습니다. 전설이야 어쨌건간에 오늘도 금맥을 발견한 비트바테르스란트을 v아 전세계에서 일확천금을 찾는 사람들이 들불처럼 모여들어 새로운 마을을 형성하고 있습니다. 이 지역은 앞으로 '요하네스버그'로 유명해집니다.;;;;;;;;;;;;;
EVTOPTA1139;캐라!;;;;;;;;;;;;;
EVTNAME1140;블랙힐즈의 황금!;;;;;;;;;;;;;
EVTDESC1140;커스터 중령이 블랙힐즈에서 돌아와 막대한 황금을 다코타 지역에서 발견했다고 보고했습니다. 광부들과 운을 시험해보려는 사람들이 몰려들고 있지만, 밤만 되면 언덕에서 들려오는 이상한 소음과 울부짖는 소리 대문에 고역을 치뤘다는 보고도 들려오고 있습니다. 어떤 사람들은 다코다족이 전쟁을 준비하는 것이라고들 합니다.;;;;;;;;;;;;;
EVTOPTA1140;두배로 축복이군.;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;
# Crime and Corruption Buildings;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;
anarchic_bomb_throwers;무정부주의자 폭탄 투척수;;;;;;;;;;;;;
citizen_guard;자경단;;;;;;;;;;;;;
immoral_business;비도덕적 사업;;;;;;;;;;;;;
machine_politics;정치기계;;;;;;;;;;;;;
mafia;마피아;;;;;;;;;;;;;
rotten_boroughs;부패선거구;;;;;;;;;;;;;
spoil_system;엽관제;;;;;;;;;;;;;
terrorist_cells;테러단체 점조직;;;;;;;;;;;;;
trusts;기업합동;;;;;;;;;;;;;
desc_anarchic_bomb_throwers;범죄와의 전쟁에 필요한 비용을 줄이면 아나르코자본주의자들의 봉기 등의 안보 위협에 대응하는 능력이 저하됩니다.;;;;;;;;;;;;;
desc_citizen_guard;범죄 검거에 쓰이는 예산이 적으면 치안 위협에 대한 대응력이 저하됩니다.;;;;;;;;;;;;;
desc_immoral_business;범죄율이 상승하고 정부의 통치가 느슨해지면 상인은 점점 자신의 이익만을 생각합니다. 그렇게 되면 누구나 자신의 이익만을 추구하기 시작하며 사회 전체의 붕괴 위기가 가까워집니다.;;;;;;;;;;;;;
desc_machine_politics;정치기계는 본질적으로 정치에서 자신이 영향력을 행사해 소수의 편의를 도모하는 것입니다. 정치기계는 일반적으로 공직을 뇌물로 사용합니다.;;;;;;;;;;;;;
desc_mafia;한 지역에서 범죄조직이 과도하게 늘어나면, 마피아의 형태로 조직화된 범죄가 발생합니다. 그러한 기관들은 지방의 생산성을 저하시킵니다.;;;;;;;;;;;;;
desc_rotten_boroughs;부패선거구란 약간의 뇌물을 이용해 특정 후보가 당선되도록 만든 유권자가 매우 적은 선거구를 뜻합니다.;;;;;;;;;;;;;
desc_spoil_system;감시기관을 충분히 정비하지 않으면 개인의 재산과 영예를 위해 권력과 영향력을 행사하기 시작하고, 궁극적으로는 지역민들의 불만도가 상승합니다.;;;;;;;;;;;;;
desc_terrorist_cells;치안요원이 적으면 잠복하면서 기회를 엿보는 테러범의 온상이 되기 쉽습니다.;;;;;;;;;;;;;
desc_trusts;범죄 검거에 쓰이는 예산이 적으면 부의 재분배가 제대로 이루어지지 않아 빈익빈부익부가 심화됩니다.;;;;;;;;;;;;;
EVTNAME1200;무정부주의자 테러;;;;;;;;;;;;;
EVTDESC1200;범죄 검거에 쓰이는 예산이 줄어들면서 무정부주의자들의 폭동에 대응할 역량이 낮아졌습니다.;;;;;;;;;;;;;
EVTOPTA1200;알았다.;;;;;;;;;;;;;
EVTNAME1201;자경단;;;;;;;;;;;;;
EVTDESC1201;범죄 검거에 쓰이는 예산이 줄어들면서 폭력조직들 간의 다툼에 대응할 역량이 낮아졌습니다.;;;;;;;;;;;;;
EVTOPTA1201;알았다.;;;;;;;;;;;;;
EVTNAME1202;비도덕적 사업;;;;;;;;;;;;;
EVTDESC1202;범죄율이 증가하고 정부의 통제력이 감소하면서 사업가들이 이윤에만 초점을 맞추기 시작했습니다. 때문에 모두가 사리사욕만 추구하면서 전체적인 체계가 전복당할 위험이 높아지고 있습니다.;;;;;;;;;;;;;
EVTOPTA1202;알았다.;;;;;;;;;;;;;
EVTNAME1203;정치기계;;;;;;;;;;;;;
EVTDESC1203;정치기계에 속한 정치가들이 영향력 확대를 위해 뇌물을 이용하고 있습니다. 이런 체제 하에서는 정부의 직책을 미끼로 정치세력을 확대하는 일을 당연하게 여깁니다.;;;;;;;;;;;;;
EVTOPTA1203;알았다.;;;;;;;;;;;;;
EVTNAME1204;마피아;;;;;;;;;;;;;
EVTDESC1204;지역사회의 치안유지 제도가 왜곡되면 조직범죄가 마피아 형태로 발전합니다. 이런 범죄조직은 지역의 생산성을 저하하는 결과를 빚습니다.;;;;;;;;;;;;;
EVTOPTA1204;알았다.;;;;;;;;;;;;;
EVTNAME1205;부패선거구;;;;;;;;;;;;;
EVTDESC1205;선거구 제도가 부패하면 소규모 선거구를 형성해 뇌물로 간단히 승리를 거둘 수 있습니다.;;;;;;;;;;;;;
EVTOPTA1205;알았다.;;;;;;;;;;;;;
EVTNAME1206;엽관제;;;;;;;;;;;;;
EVTDESC1206;체제에 대한 통제장치가 훼손을 입으면서 정치가들이 권력을 남용하고 개인의 영욕을 위해 영향력을 행사하고 있습니다. 결과적으로 국민들의 불만이 급상승합니다.;;;;;;;;;;;;;
EVTOPTA1206;알았다.;;;;;;;;;;;;;
EVTNAME1207;테러단체 점조직;;;;;;;;;;;;;
EVTDESC1207;치안인력이 부족해지면서 테러범들이 존재를 은폐하거나 거사 기회를 노리기가 쉬워졌습니다.;;;;;;;;;;;;;
EVTOPTA1207;알았다.;;;;;;;;;;;;;
EVTNAME1208;기업합동;;;;;;;;;;;;;
EVTDESC1208;정부가 범죄 검거에 쓰이는 예산을 줄인 탓에 불공정한 거래관행이 발생했습니다. 부자들은 더욱 부유해지고 빈민은 더욱 가난해집니다.;;;;;;;;;;;;;
EVTOPTA1208;알았다.;;;;;;;;;;;;;
EVTNAME1209;무정부주의자 테러 문제 해결;;;;;;;;;;;;;
EVTDESC1209;범죄 검거에 쓰이는 예산을 늘리면서 무정부주의 폭동에 대응하는 역량을 강화했습니다.;;;;;;;;;;;;;
EVTOPTA1209;좋아.;;;;;;;;;;;;;
EVTNAME1210;폭력단 문제 해결;;;;;;;;;;;;;
EVTDESC1210;범죄 검거에 쓰이는 예산을 늘리면서 폭력단간 충돌에 대응하는 역량을 강화했습니다.;;;;;;;;;;;;;
EVTOPTA1210;좋아.;;;;;;;;;;;;;
EVTNAME1211;비도덕적 사업 문제 해결;;;;;;;;;;;;;
EVTDESC1211;범죄 검거에 쓰이는 예산을 늘리면서 정부의 통제력이 강화되고 범죄율이 낮아졌습니다. 사업가들이 사리사욕에만 신경쓰지 않기 ??문에 체제 전복 위험이 현저히 줄었습니다.;;;;;;;;;;;;;
EVTOPTA1211;좋아.;;;;;;;;;;;;;
EVTNAME1212;정치기계 문제 해결;;;;;;;;;;;;;
EVTDESC1212;범죄 검거에 쓰이는 예산을 늘리면서 파벌 정치에 대응하는 능력을 향상시켰습니다. 파벌 정치는 정치가들이 영향력 확대를 위해 뇌물을 이용하는 행위를 말합니다. 이런 체제 하에서는 정부의 직책을 미끼로 정치세력을 확대하는 일을 당연하게 여깁니다.;;;;;;;;;;;;;
EVTOPTA1212;좋아.;;;;;;;;;;;;;
EVTNAME1213;마피아 문제 해결;;;;;;;;;;;;;
EVTDESC1213;범죄 검거에 쓰이는 예산을 늘리면서 마피아 같은 조직범죄에 대응하는 역량을 강화했습니다. 이런 류의 범죄조직은 지역의 생산성을 저하시키고 있었습니다.;;;;;;;;;;;;;
EVTOPTA1213;좋아.;;;;;;;;;;;;;
EVTNAME1214;부패선거구 문제 해결;;;;;;;;;;;;;
EVTDESC1214;선거구를 조작하면 소규모 선거구를 구성해서 적은 뇌물로도 선거에서 승리할 수 있습니다. 범죄 검거에 쓰이는 예산을 늘리면서 게리멘더링에 대한 대응능력이 증가했습니다.;;;;;;;;;;;;;
EVTOPTA1214;좋아.;;;;;;;;;;;;;
EVTNAME1215;엽관제 문제 해결;;;;;;;;;;;;;
EVTDESC1215;범죄 검거에 쓰이는 예산을 늘리면서 기관의 통제력이 강해졌고, 덕분에 정치가들이 권력을 남용하거나 영향력을 행사해서 개인의 사리사욕을 추구하는 일이 줄어들었습니다. $PROVINCENAME$ 지역 주민들의 불만도가 극적으로 하락합니다.;;;;;;;;;;;;;
EVTOPTA1215;좋아.;;;;;;;;;;;;;
EVTNAME1216;테러조직 점조직 문제 해결;;;;;;;;;;;;;
EVTDESC1216;$PROVINCENAME$ 지역의 치안인력이 늘면서 테러범들의 범죄 가능성이 줄고 정체를 은폐하기가 어려워졌습니다..;;;;;;;;;;;;;
EVTOPTA1216;좋아.;;;;;;;;;;;;;
EVTNAME1217;기업합동 문제 해결;;;;;;;;;;;;;
EVTDESC1217;범죄 검거에 쓰이는 예산을 늘리면서 $PROVINCENAME$의 부가 더 공평하게 분배되기 시작했습니다. 부유층과 빈민층 간의 빈부격차를 얼마 전에 비해 많이 개선했습니다.;;;;;;;;;;;;;
EVTOPTA1217;좋아.;;;;;;;;;;;;;
REMOVE_EVTNAME2000;Institutional Community;;;;;;;;;;;;;
REMOVE_EVTDESC2000;The immigrants arrived in their new country and began searching for a place to call their own. Together, they tried to create a institutional community but needed permission to do so. Since few of the newly arrived immigrants knew the language of the new country, they hired a dragoman who helped them formulate a document, a humble plea for the construction of their community.;;;;;;;;;;;;;
REMOVE_EVTOPTB2000;Too much trouble. No community;;;;;;;;;;;;;
REMOVE_EVTOPTA2000;Let them build their community.;;;;;;;;;;;;;
EVTNAME2010;이민자 고용;;;;;;;;;;;;;
EVTDESC2010;'벌써 20일째다. 20일째 일도 없고 돈도 없어 가족을 먹이고 입힐 수 없다. 20일... 먹을 것을 찾으려 쓰레기통을 뒤지다보면 20일은 영원한 시간처럼 느껴진다.'\n\n고향을 떠나 일자리를 찾아 우리나라까지 온 이민자들에게 정작 일자리가 없는 사태가 발생했습니다.;;;;;;;;;;;;;
EVTOPTA2010;무시한다.;;;;;;;;;;;;;
EVTOPTB2010;사업장들에 이민자를 고용하도록 지원한다.;;;;;;;;;;;;;
REMOVE_EVTNAME2020;Intermarriage;;;;;;;;;;;;;
REMOVE_EVTDESC2020;'Her eyes shone as her husband danced the first dance with her. Ignoring the murmurs and whispers, the sneers and leers, she smiled at her husband, with his dark skin and white teeths. The society was appalled by the marriage between a dark-skinned man and a white upper-class lady, but the young couple did not care.';;;;;;;;;;;;;
REMOVE_EVTOPTA2020;I wish them good luck.;;;;;;;;;;;;;
REMOVE_EVTOPTB2020;I'm shocked!;;;;;;;;;;;;;
EVTNAME2030;개명;;;;;;;;;;;;;
EVTDESC2030;"안자 예이...뭐죠?\n"아니야 예지르스카입니다. 제 이름이 발음하기 힘든가요?"\n"약간 그렇습니다. 취직이 어려울 수도 있겠습니다. 개명하시겠습니까?"\n\n발음하기 힘든 이름과 이상한 철자가 구직 이민자들에게 걸림돌로 작용할 수 있습니다.;;;;;;;;;;;;;
EVTOPTA2030;'애냐 예세크로 바꾸겠습니다';;;;;;;;;;;;;
EVTOPTB2030;'아니야 예지르스카를 유지하겠습니다.';;;;;;;;;;;;;
EVTNAME2040;집 소유;;;;;;;;;;;;;
EVTDESC2040;국내로 이주한 대다수의 이민자들에게 주거공간이 필요합니다. 많은 이민자들이 10명 내지 20명 단위로 공동생활하는 상황을 해결하려면 주거용 건물을 대거 신축해야 합니다. 공동생활이 계속된다면 전염병이 발생하거나 폭동 내지 다른 수많은 문제를 야기할 수 있습니다.;;;;;;;;;;;;;
EVTOPTA2040;서둘러 시행하게.;;;;;;;;;;;;;
EVTOPTB2040;서두를 필요없네.;;;;;;;;;;;;;
REMOVE_EVTNAME2050;Naturalization;Naturalisation;Einb?gerung;;Naturalizaci?;;;;;;;;;x
REMOVE_EVTDESC2050;It's been five years since the first immigrants came to this country. After these five years, immigrants can apply for membership in the country, become real citizens and not have to be called aliens any more.;Les premiers immigr? du pays sont arriv? il y a cinq ans. Au bout de cette p?iode de cinq ans, les immigr? peuvent souhaiter ?re membres ?part enti?e du pays, devenir de vrais citoyens et ne plus ?re trait? d'?rangers.;Vor f?f Jahren kamen die ersten Einwanderer in dieses Land. Nach diesen f?f Jahren k?nen Einwanderer die Einb?gerung ins Land beantragen, echte Staatsangeh?ige werden und brauchen nicht mehr Fremde genannt werden.;;Hace cinco a?s que llegaron los primeros inmigrantes a este pa?. Tras estos cinco a?s, los inmigrantes pueden solicitar la ciudadan? del pa?, para ser miembros de pleno derecho y no tener que ser considerados extranjeros nunca m?.;;;;;;;;;x
REMOVE_EVTOPTA2050;Give them citizenship.;Leur accorder la citoyennet?;Gebt ihnen Staatsb?gerschaft.;;Dadles la ciudadan?.;;;;;;;;;x
REMOVE_EVTOPTB2050;Just a few more years...;Encore quelques ann?s...;Nur noch ein paar Jahre mehr ...;;Solo unos a?s m?.;;;;;;;;;x
REMOVE_EVTNAME2060;Advanced Naturalization;Naturalisation avanc?;Schnellere Einb?gerung;;Naturalizaci? avanzada;;;;;;;;;x
REMOVE_EVTDESC2060;Five years living in the country, passing the Life in $COUNTRY$ test, speaks the language nearly perfect and married to a wonderful, native woman... You do qualify for a citizenship. Congratulations! Now you only need to sign here and here...'\nMore specified rules for aliens to become citizens don't seem to stop them.;Cinq ans de vie dans le pays, passer le test ?Vivre en $COUNTRY$? parler la langue couramment, et ?re mari??une autochtone... Vous venez d?acqu?ir notre nationalit? F?icitations ! A pr?ent veuillez signer ?cet endroit, puis encore ici...\n Des r?les tatillonnes et s??es pour obtenir une pleine citoyennet?ne semblent pas arr?er les ?rangers.;Nach f?f Jahren im Land besteht er den Test Leben in $COUNTRY$, spricht die Sprache nahezu perfekt und ist mit einer sehr netten Eingeborenen verheiratet ... Sie sind f? die Staatsb?gerschaft qualifiziert. Gl?kw?sche! Nun m?sen Sie nur noch hier und hier unterschreiben...'\nImmer spezieller werdende Regeln f? die Einb?gerung Fremder scheinen sie nicht zu stoppen.;;Tras cinco a?s viviendo en $COUNTRY$, hablas el idioma nativa casi a la perfecci? y te has casado con una mujer nativa maravillosa... Cumples los requisitos para la ciudadan?. Felicidades! Ahora solo has de firmar aqu?..\nEl hecho de que las reglas para obtener la ciudadan? sean m? espec?icas, no parece detener a los inmigrantes.;;;;;;;;;x
REMOVE_EVTOPTA2060;Good.;Bien.;Gut.;;Bien.;;;;;;;;;x
REMOVE_EVTOPTB2060;Irritating.;Aga?nt.;Irritierend.;;Irritante.;;;;;;;;;x
REMOVE_EVTNAME2070;Massive Naturalizations;Naturalisations massives;Massive Einb?gerungen;;Naturalizaciones masivas;;;;;;;;;x
REMOVE_EVTDESC2070;Immigrants arriving to $PROVINCENAME$ have fled from a tyrant and need to be assimilated into the country as soon as possible. A proposal for comprehensive naturalization has been approved and the country welcomes immigrants with open arms.;Des immigrants qui arrivent en $PROVINCENAME$ ont fui un tyran et ont besoin d'?re assimil? au pays le plus rapidement possible. Une proposition de naturalisation massive a ??approuv? et le pays accueille les immigrants les bras ouverts.;Einwanderer in $PROVINCENAME$ sind vor einem Tyrannen geflohen und m?sen schnellstm?lich ins Land assimiliert werden. Ein Vorschlag auf umfassende Einb?gerung wurde genehmigt, und das Land hei? Einwanderer mit offenen Armen willkommen.;;Los inmigrantes llegados a $PROVINCENAME$ han huido de una tiran? y necesitan ser asimilados en el pa? lo antes posible. Se ha aprobado una propuesta de naturalizaci? general y el pa? recibe a los inmigrantes con los brazos abiertos.;;;;;;;;;x
REMOVE_EVTOPTA2070;Okay.;D'accord.;Okay.;;Muy bien.;;;;;;;;;x
REMOVE_EVTNAME2080;Denaturalization;D?aturalisation;Ausb?gerung;;Desnaturalizaci?;;;;;;;;;x
